result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t8_dial_full_cba_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dial full cba,,AP,88.23,,,,,points,,reported_in_article,,role-routed evidence and bounded solver
t8_dial_full_cba_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dial full cba,,UniqueGT-Cov,83.3,,,,,percent,,reported_in_article,,role-routed evidence and bounded solver
t8_dial_full_cba_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dial full cba,,Udup,0.044,,,,,bounded loss UCB,,reported_in_article,,role-routed evidence and bounded solver
t8_dial_full_cba_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dial full cba,,Ucov,0.083,,,,,bounded loss UCB,,reported_in_article,,role-routed evidence and bounded solver
t8_dial_full_cba_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dial full cba,,decoder latency,3.2,,,,,ms/image,,reported_in_article,,role-routed evidence and bounded solver
t8_exact_milp_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,exact milp,,AP,88.27,,,,,points,,reported_in_article,,oracle ceiling on tractable subset
t8_exact_milp_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,exact milp,,UniqueGT-Cov,83.4,,,,,percent,,reported_in_article,,oracle ceiling on tractable subset
t8_exact_milp_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,exact milp,,Udup,0.044,,,,,bounded loss UCB,,reported_in_article,,oracle ceiling on tractable subset
t8_exact_milp_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,exact milp,,Ucov,0.082,,,,,bounded loss UCB,,reported_in_article,,oracle ceiling on tractable subset
t8_exact_milp_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,exact milp,,decoder latency,26.0,,,,,ms/image,,reported_in_article,,oracle ceiling on tractable subset
